set nodes := 1 2 3 4 5 6 7 ;
set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

param : arcs : L  vmax :=
1    2    1000     2
2    4    1000    2
2    3    1000    2
3    5    1000    2
4    5    1000    2
4    6    1000    2
7    5    1000    2
6    7    1000    2
;

#param d :=
#1   25.4
#2   50.8
#3   76.2
#4   101.6
#5   152.4
#6   203.2
#7   254
#8   304.8
#9   355.6
#10   406.4
#11   457.2
#12   508
#13   558.8
#14   609.6 ;

# param d:=          
#  1    0.0254   
#  2    0.0508   
#  3    0.0762   
#  4    0.1016   
#  5    0.1524   
#  6    0.2032   
#  7    0.2540   
#  8    0.3048   
#  9    0.3556   
# 10    0.4064   
# 11    0.4572   
# 12    0.5080   
# 13    0.5588   
# 14    0.6096;     

param E :=
1   210
2   150
3   160
4   155
5   150
6   165
7   160 ;

param P :=
1   0
2   30
3   30
4   30
5   30
6   30
7   30 ;

param D :=
1   -311.1087 
2   27.7777
3   27.777
4   33.333
5   75
6   91.666
7   55.555 ;

# param D:=            
# 1     -0.3111087            
# 2     0.027777     
# 3     0.02777     
# 4     0.03333     
# 5     0.075       
# 6     0.091666     
# 7     0.05555    ;

param C :=
1   2
2   5
3   8
4   11
5   16
6   23
7   32
8   50
9   60
10   90
11   130
12   170
13   300
14   550 ;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130
7   130
8   130
9   130
10   130
11   130
12   130
13   130
14   130 ;


# param  R  :=
# 1    2    130       
# 2    4    130    
# 2    3    130    
# 3    5    130    
# 4    5    130    
# 4    6    130    
# 7    5    130    
# 6    7    130    
#  ;

set Source:= 1 ;

