#Bragalli, D'Ambrosio, Lee, Lodi, Toth (2008)
#PARAMETERS' DEFINITION FOR THE SHAMIR NETWORK

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure
set NODE:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 ;
set DIAMSET := 1 2 3 4 5 6 7 8 9 10 11 12 ;
            
param: NODE:     demand        elev pmin :=
1                 0            45	0
2                 0.0451	   17	0
3                 0.111 	   16	0
4                 0.021 	   11	0
5                 0.0126	   13	0
6                 0.00335	   19	0
7                 0.0301	   13	0
8                 0.00426	   16	0
9                 0.00806	   11	0
10                0.0391	   10	0
11                0.0247	   14	0
12                0.0368	   15	0
13                0.0169	   8	0
14                0.00453	   13	0
15                0.0146	   11	0
16                0.0181	   15	0
17                0.0171	   10	0
18                0.0132	   15	0
19                0.0144	   18	0
20                0.0176	   18	0
21                0.0831	   17	0
22                0.0125	   12	0
23                0.0104	   18	0
24                0.138 	   19	0
25                0.00453	   17	0
26                0.0853	   15	0
27                0.0489	   10	0
28                0.00644	   16	0
29                0.0152	   16	0
30                0.00968	   17	0
31                0.0225	   22	0
32                0.0228	   16	0
33                0.0144	   15	0
34                0.0108	   15	0
35                0.018  	   17	0
36                0.00514	   16	0
37                0.016	       11	0
38                0.016	       18	0
39                0.0118	   20	0
40                0.0207	   14	0
41                0.0529	   9	0
42                0.028	       12	0
43                0.00442	   15	0
44                0.0462	   20	0
45                0.0152	   16	0
46                0.0464	   17	0
47                0.00792	   15	0
48                0.0592	   18	0
49                0.0384	   17	0
50                0.0287	   20	0
51                0.0882	   14	0
52                0.0187	   13	0
53                0.00245	   19	0
54                0.0581	   20	0
55                0.0129	   23	0
56                0.036	       14	0
57                0.118	       16	0
58                0.0226	   9	0
59                0.0283	   15	0
60                0.0223	   14	0
61                0.00889	   13	0
62                0.0189	   13	0
63                0.045	       16	0
64                0.0412	   23	0
65                0.0126	   14	0
66                0.0592	   16	0
67                0	           15	0
68                0.17	       13	0
69                0.17	       22	0
70                0.17	       14	0
71                0.17	       18	0
72                0.456	       11	0
73                0.354	       19	0
74                0.11	       11	0
75                0.0875	   12	0
76                0.224	       16	0
77                0.157	       23	0
78                0.457	       22	0
79                0.664	       8	0
80                122	       11	0
81                122	       16	0
82                122	       12	0
83                122          13 	0;


#Pipe's parameters: start node, end node, length, maximum velocity

param: arcs:                    length    dKc  :=
2    63                        116.5	140
3    2                         93.42	140
4    65                        26.22	140
5    20                        27.98	140
6    36                        15.57	140
7    48                        57.55	140
8    47                        19.8	    140
9    82                        37.49	140
10  81                         181.8	140
11  37                         43.97	140
12  49                         139.4	140
13  76                         38.55	140
14  45                         18.53	140
15  57                         68.01	140
16  18                         37.86	140
17  45                         27.2	    140
18  75                         23.38	140
19  64                         15.58	140
20  50                         53.81	140
21   7                         82.49	140
22  62                         19.81	140
23  34                         16.24	140
24  78                         70.57	140
25  43                         9.669	140
26  59                         16.33	140
27  66                         67.4	    140
28  31                         29.93	140
29  11                         70.68	140
30  52                         28.63	140
31  58                         35.52	140
32  77                         45.22	140
33  40                         33.17	140
34  32                         33.93	140
35  16                         10.42	140
36  43                         8.325	140
37   5                         30.63	140
38  60                         32.33	140
39  35                         14.81	140
40  13                         40.19	140
41  35                         58.59	140
42  32                         26.91	140
43  14                         2.55	    140
44  26                         107.8	140
45  55                         25.12	140
46  21                         36.17	140
47  55                         17.05	140
48  66                         109.8	140
49  31                         39.3	    140
50  22                         38.44	140
51  41                         41.63	140
52  39                         15.45	140
53  25                         11.39	140
54  64                         60.38	140
55  62                         17.93	140
56  30                         16.38	140
57  72                         123.7	140
58   4                         21.62	140
59  19                         51.18	140
60  16                         10.94	140
61  50                         41.35	140
 1  62                         18.2	    140
63  40                         23	    140
64  42                         51.51	140
65  23                         32.22	140
66  58                         48.13	140
67  46                         179.6	140
68  80                         2.023	140
69  54                         209.8	140
70  12                         31.93	140
71  68                         111.9	140
72  56                         23.1	    140
73  57                         177	    140
74  67                         54.76	140
75  17                         20.35	140
76  38                         42.13	140
77  33                         33.69	140
78  44                         106.9	140
79  69                         553.2	140
80  67                         77.89	140
81   3                         135.1	140
82  81                         45.02	140
83  70                         80.77	140
39  16                         24.74	140
52  56                         42.72	140
56  41                         85.39	140
51  76                         106.2	140
24  69                         281.2	140
41  60                         60.63	140
26  63                         69.65	140
72  51                         81.23	140
24   3                         289.4	140
42  77                         51.72	140
59  64                         63.94	140
21  48                         108.2	140
78  26                         203	    140
21  27                         159.9	140
 4  66                         49.86	140
62  17                         32.16	140
57  51                         181.1 	140;
                   

param dmin := 63;
param dmax := 315;
set source:= 1 ;

param: DIAMSET:  discdiam       disccost :=
1         63	116
2         75	172
3         90	231
4         110	340
5         125	461
6         140	576
7         160	750
8         180	945
9         200	1113
10        250	1762
11        280	2210
12        315 	2794; 

     

