set nodes := 1 2 3 4 5 6 7 ;

set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

param : arcs : L  vmax :=
1    2    3280.839895013123     2
2    4    3280.839895013123     2
2    3    3280.839895013123     2
3    5    3280.839895013123     2
4    5    3280.839895013123     2
4    6    3280.839895013123     2
7    5    3280.839895013123     2
6    7    3280.839895013123     2
;

param d :=
1    0.083333
2    0.166667
3    0.250000
4    0.333333
5    0.500000
6    0.666667
7    0.833333
8    1.000000
9    1.166667
10   1.333333
11   1.500000
12   1.666667
13   1.833333
14   2.000000 ;

param E :=
1   688.9763786527558
2   492.1259842519685
3   524.9343832020998
4   508.5301837270321
5   492.1259842519685
6   541.3385826771654
7   524.9343832020998 ;

param P :=
1   0.0
2   98.4251968503937
3   98.4251968503937
4   98.4251968503937
5   98.4251968503937
6   98.4251968503937
7   98.4251968503937 ;

param D :=
1   0.000000
2   0.98096296
3   0.98096296
4   1.17715555
5   2.64859999
6   1.61858890
7   1.96192592 ;

param C :=
1    6.561679790026246
2    16.404199475065615
3    26.246719160104984
4    36.08923884514435
5    52.493359360208696
6    75.45931758530183
7    104.98716704041858
8    164.04199475065615
9    196.8503937007874
10   295.2755905511811
11   426.50918635170605
12   557.742782152231
13   984.251968503937
14   1804.6291301118325 ;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130
7   130
8   130
9   130
10  130
11  130
12  130
13  130
14  130 ;

set Source := 1 ;

