Instances,Mmultistart Objective,Mmultistart time taken,Ini Ipopt Objective,Ini Ipopt time taken,Ini Ipopt Con Vio,Ini Ipopt Abs Vio,Ini Ipopt Rel Vio,Baron Objective,Baron time taken,Baron Con Vio,Baron Abs Vio,Baron Rel Vio,Gurobi Objective,Gurobi Best Bound,Gurobi time taken,Gurobi Con Vio,Gurobi Abs Vio,Gurobi Rel Vio,Scip Objective,Scip Dual Bound,Scip time taken,Scip Con Vio,Scip Abs Vio,Scip Rel Vio,Knitro Objective,Knitro time taken,Bonmin Objective,Bonmin time taken,Heuristic Objective,Heuristic time taken,Heuristic Rel Vio
d1_Sample_input_cycle_twoloop,,,,,0.00877925029539739,1.1122973178068207e-06,9.426021256658482e-08,403406.1761,3600.08,0.00877925029539739,1.1122973178068207e-06,9.426021256658482e-08,no feasible solution,-,,,,,403406.173363063,232385.401789716,3604.19,6.228262350305158e-11,1.112784055568028e-06,9.43425687744078e-08,,,,,,,
d2_Sample_input_cycle_hanoi,,,,,2.4247778784847185e-08,0.00018336987357847612,0.00051329954392457,6055933.747,1.37,2.4247778784847185e-08,0.00018336987357847612,0.00051329954392457,no feasible solution,2.079842584824e+06,3600.0,,,,LP error,,,,,,,,,,,,
d3_Sample_input_double_hanoi,,,,,6.225589603559012e-08,0.000535788249672875,0.0034681065096684497,12174069.92,2.39,6.225589603559012e-08,0.000535788249672875,0.0034681065096684497,no feasible solution,3.597839952527e+06,3600.0,,,,12224352.5527012,4329794.53913295,3602.09,1.891495293726564e-11,0.00021147992568504304,0.0008410960127542443,,,,,,,
d4_Sample_input_triple_hanoi,,,,,7.851375291578755e-08,0.000549546230148884,0.0015298303711145677,18369647.01,7.73,7.851375291578755e-08,0.000549546230148884,0.0015298303711145677,no feasible solution,6.499863842612e+06,3600.0,,,,18539280.5267213,6500244.45187101,3600.72,2.1880275369312585e-11,0.00013977754388339036,0.0002493555401858721,,,,,,,
d5_Taichung_input,,,,,9.009211021648866e-08,1.6673236111763856e-06,1.8518185720370304e-06,8844491.976,1.47,9.009211021648866e-08,1.6673236111763856e-06,1.8518185720370304e-06,no feasible solution,5.366400000000e+06,3600.0,,,,9200160.40478308,5366400.0,3600.05,1.229488733045514e-12,2.315327306906534e-06,5.299116407448965e-06,,,,,,,
d6_HG_SP_1_4,,,,,2.2674829414492543e-10,0.0003931404712659328,6.454371705609275,3616318.555,11.7,2.2674829414492543e-10,0.0003931404712659328,6.454371705609275,no feasible solution,7.869967800000e+05,3600.0,,,,3552926.59382503,-476599.396,3600.41,5.3759268901096036e-09,0.00033490856207277415,7.31798342218602,,,,,,,
d7_HG_SP_2_3,,,,,3.552138400540226e-07,0.0002260870411162406,5.267316539539702,3393576.157,5.25,3.552138400540226e-07,0.0002260870411162406,5.267316539539702,no feasible solution,8.759972000000e+05,3600.0,,,,3395294.84658142,-1336413.68,3600.1,1.3947876818525644e-12,0.00021891132830250922,5.247990173019786,,,,,,,
d8_HG_SP_3_4,,,,,8.066164102006829e-07,0.000511889720303207,9.979128462140814,6963328.528,3.83,8.066164102006829e-07,0.000511889720303207,9.979128462140814,no feasible solution,7.759795677316e+05,3600.0,,,,1e+20,-100502.896,3600.0,,,,,,,,,,
d9_HG_SP_4_2,,,,,2.223015053505206e-10,0.0004863994119583646,7.786355681197453,8844659.293,122.31,2.223015053505206e-10,0.0004863994119583646,7.786355681197453,no feasible solution,1.341969780000e+06,3600.0,,,,1e+20,27553.3640000001,3600.0,,,,,,,,,,
d10_HG_SP_5_5,,,,,3.0281464886354725e-11,0.0002530693687050569,11.059740772633617,9660258.701,47.1,3.0281464886354725e-11,0.0002530693687050569,11.059740772633617,no feasible solution,1.622384352000e+06,3600.0,,,,1e+20,-1364817.844,3600.0,,,,,,,,,,
d11_HG_SP_6_3,,,,,1.0737644011824083e-06,0.0003494702307436952,17.156099544654705,12198591.89,22.83,1.0737644011824083e-06,0.0003494702307436952,17.156099544654705,no feasible solution,1.332106300000e+06,3600.0,,,,1e+20,74765.596,3600.0,,,,,,,,,,
d12,,,,,1.8524652827491026e-07,0.0004286396433069777,2.6698448093042053,3433655.32,3.92,1.8524652827491026e-07,0.0004286396433069777,2.6698448093042053,no feasible solution,9.680459470324e+05,3600.0,,,,3426555.30192306,925955.036,3600.74,4.7232326811352214e-12,0.00036848021992581223,2.8150548127298256,,,,,,,
d13,,,,,2.0691357294211343e-07,7.928547477664694e-06,6.199738195672636e-07,14896325.16,0.21,2.0691357294211343e-07,7.928547477664694e-06,6.199738195672636e-07,no feasible solution,1.368048516132e+07,3600.0,,,,14896325.1736871,14884628.6157125,3605.53,2.949473998370422e-10,7.928547477664694e-06,6.19973819581197e-07,,,,,,,
d15_foss_poly_0,,,,,4.083237472394933e-08,0.0004673062361931912,0.4295355534200905,66399770.96,1.27,4.083237472394933e-08,0.0004673062361931912,0.4295355534200905,no feasible solution,5.791637540000e+07,3600.0,,,,66444903.219004,57916375.4,3601.4,4.713386129759725e-13,0.000365789887900228,0.8189224066248373,,,,,,,
d16_foss_iron,,,,,3.549089804724383e-08,0.0002890170132010071,1.0742772167533763,171724.2951,1.15,3.549089804724383e-08,0.0002890170132010071,1.0742772167533763,no feasible solution,1.664360280000e+05,3600.0,,,,1e+20,1e+20,,,,,,,,,,,
d17_foss_poly_1,,,,,0.01826120852790324,0.0001341110908998789,0.007236658571267465,20611.17561,3605.52,0.01826120852790324,0.0001341110908998789,0.007236658571267465,no feasible solution,3.195702948481e+03,3600.0,,,,1e+20,0.0,3600.0,,,,,,,,,,
