Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1739830785.603	     0.003	0	0	1	0	python3 water-heuristic.py   1 > ../../output/heuristic_out/d1_Sample_input_cycle_twoloop.heuristic_out >> "$LOG_DIR/job_1.out" 2>> "$LOG_DIR/job_1.err"
2	:	1739830785.606	     0.006	0	0	1	0	python3 water-heuristic.py   2 > ../../output/heuristic_out/d2_Sample_input_cycle_hanoi.heuristic_out >> "$LOG_DIR/job_2.out" 2>> "$LOG_DIR/job_2.err"
3	:	1739830785.612	     0.003	0	0	1	0	python3 water-heuristic.py   3 > ../../output/heuristic_out/d3_Sample_input_double_hanoi.heuristic_out >> "$LOG_DIR/job_3.out" 2>> "$LOG_DIR/job_3.err"
4	:	1739830785.616	     0.005	0	0	1	0	python3 water-heuristic.py  4 > ../../output/heuristic_out/d4_Sample_input_triple_hanoi.heuristic_out >> "$LOG_DIR/job_4.out" 2>> "$LOG_DIR/job_4.err"
5	:	1739830785.621	     0.004	0	0	1	0	python3 water-heuristic.py  5 > ../../output/heuristic_out/d5_Taichung_input.heuristic_out >> "$LOG_DIR/job_5.out" 2>> "$LOG_DIR/job_5.err"
6	:	1739830785.626	     0.004	0	0	1	0	python3 water-heuristic.py  6 > ../../output/heuristic_out/d6_HG_SP_1_4.heuristic_out >> "$LOG_DIR/job_6.out" 2>> "$LOG_DIR/job_6.err"
7	:	1739830785.630	     0.002	0	0	1	0	python3 water-heuristic.py  7 > ../../output/heuristic_out/d7_HG_SP_2_3.heuristic_out >> "$LOG_DIR/job_7.out" 2>> "$LOG_DIR/job_7.err"
8	:	1739830785.633	     0.003	0	0	1	0	python3 water-heuristic.py  8 > ../../output/heuristic_out/d8_HG_SP_3_4.heuristic_out >> "$LOG_DIR/job_8.out" 2>> "$LOG_DIR/job_8.err"
9	:	1739830785.636	     0.003	0	0	1	0	python3 water-heuristic.py  9 > ../../output/heuristic_out/d9_HG_SP_4_2.heuristic_out >> "$LOG_DIR/job_9.out" 2>> "$LOG_DIR/job_9.err"
10	:	1739830785.639	     0.003	0	0	1	0	python3 water-heuristic.py  10 > ../../output/heuristic_out/d10_HG_SP_5_5.heuristic_out >> "$LOG_DIR/job_10.out" 2>> "$LOG_DIR/job_10.err"
11	:	1739830785.642	     0.003	0	0	1	0	python3 water-heuristic.py  11 > ../../output/heuristic_out/d11_HG_SP_6_3.heuristic_out >> "$LOG_DIR/job_11.out" 2>> "$LOG_DIR/job_11.err"
12	:	1739830785.645	     0.006	0	0	1	0	python3 water-heuristic.py  12 > ../../output/heuristic_out/d12.heuristic_out >> "$LOG_DIR/job_12.out" 2>> "$LOG_DIR/job_12.err"
13	:	1739830785.651	     0.003	0	0	1	0	python3 water-heuristic.py  13 > ../../output/heuristic_out/d13.heuristic_out >> "$LOG_DIR/job_13.out" 2>> "$LOG_DIR/job_13.err"
14	:	1739830785.655	     0.003	0	0	1	0	python3 water-heuristic.py  15 > ../../output/heuristic_out/d15_foss_poly_0.heuristic_out >> "$LOG_DIR/job_14.out" 2>> "$LOG_DIR/job_14.err"
15	:	1739830785.659	     0.003	0	0	1	0	python3 water-heuristic.py  16 > ../../output/heuristic_out/d16_foss_iron.heuristic_out >> "$LOG_DIR/job_15.out" 2>> "$LOG_DIR/job_15.err"
16	:	1739830785.662	     0.005	0	0	1	0	python3 water-heuristic.py  17 > ../../output/heuristic_out/d17_foss_poly_1.heuristic_out >> "$LOG_DIR/job_16.out" 2>> "$LOG_DIR/job_16.err"
