Version identifier: 20.1.0.0 | 2020-11-10 | 9bedb6d68
Tried aggregator 1 time.
No LP presolve or aggregator reductions.
Presolve time = 0.00 sec. (0.07 ticks)
Initializing dual steep norms . . .

Iteration      Dual Objective            In Variable           Out Variable
     1           19586.317527                     x3               c1 artif
     2           23184.342083                    x73               c6 artif
     3           26071.567238                    x16               c2 artif
     4           34598.815360                    x31                     x1
     5           35870.787120                   x100                    x71
     6           45994.157399                    x59                    x15
     7           49002.388910                    x45                    x29
     8           49344.808269                    x18                    x99
     9           50411.549846                    x58                    x59
    10           58994.540590                    x17                    x16
    11           59927.950272                     x4                     x3
    12           69755.055043                     x5                    x17
    13           69812.138619                   x101                   x100
    14           71036.941419                    x30                    x43
    15           77337.038282                    x19                     x4
    16           79748.482060                    x75                    x73
    17           80516.116009                    x73                    x57
    18           81193.098287                    x59                    x75
    19           96561.423162                     x6                    x30
    20           99092.823969                    x32                    x31
    21           99923.418508                    x75                    x18
    22          106528.919140                    x31                    x73
    23          108837.805892                   x104                     x5
    24          118906.842709                    x61                    x58
    25          131225.381027                    x47                    x31
    26          144939.873962                   x102                   x101
    27          155252.757898                    x21                    x19
    28          170442.545460                     x8                    x59
    29          172657.775085                    x77                   x102
    30          173192.113504                    x60                    x75
    31          262336.146187                    x24                     x6
    32          265097.323074                    x34                    x45
    33          275460.462515                    x48                    x32
    34          288243.349188                     x9                     x8
    35          323562.038656                   x106                    x21
    36          343332.872806                    x79                    x77
    37          356141.059725                    x63                    x60
    38          374774.584517                    x11                   x117
    39          375714.144869                    x62                    x63
    40          432752.581341                    x25                     x9
    41          434761.595767                    x35                    x47
    42          434908.810909                   x105                   x106
    43          435219.886862                    x12                    x24
CPLEX 20.1.0.0: optimal solution; objective 435219.8868
43 dual simplex iterations (0 in phase I)
Basis condition = 8.42891e+06
