set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
            33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61
            62 65 76  82 83 84 85 86 87 88 89  ;
set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 13 ;
param : arcs : L :=
1    2       977.36  
3    4       443.17  
3    5       1410.77 
3    1       269.61  
6    7       116.52  
6    8       203.06  
9    6       2309.14 
10   11      1479.98 
15   14      43.97   
13   17      589.16  
18   13      618.53  
18   19      341.1   
20   18      341.92  
21   20      434.24  
22   23      240.59  
24   25      957.44  
14   24      171.04  
24   17      235.57  
26   17      3.59    
26   27      324.36  
21   22      749.74  
23   21      639.7   
27   23      422.95  
20   27      843.52  
19   20      609.23  
28   29      179.04  
28   30      570.9   
30   28      575.73  
31   32      250.28  
30   33      442.11  
34   30      762.35  
35   36      1124.9  
31   11      1903.75 
37   31      125.51  
37   38      121.27  
19   38      55.32   
40   39      424.86  
40   41      72.8    
9    40      554.08  
33   9       305.53  
41   33      568.35  
34   41      63.81   
39   34      310.76  
12   39      1217.17 
25   12      365.82  
35   25      1408.33 
29   35      33.25   
8    29      720.9   
42   11      441.69  
43   42      332.99  
44   42      229.85  
45   46      500.92  
47   48      232.07  
32   49      5.43    
46   32      66.24   
50   46      232.13  
49   50      154.78  
48   49      645.1   
51   48      157.87  
50   51      645.79  
52   50      206.69  
51   53      156.75  
54   55      152.81  
56   47      52.37   
44   57      394.67  
56   44      774.69  
57   56      435.58  
58   57      899.67  
59   60      198.5   
55   61      1116.15 
52   53      631.8   
45   52      350.97  
61   5       226.03  
60   61      186.77  
58   60      337.24  
62   58      173.09  
62   2       784.45  
59   62      86.39   
4    59      732.93  
2    4       193.78  
65   6       1744.27 
65   76      154.18  
86   45      1635.69 
76   8       1072.69 
82   83      5.00    
82   85      240.05  
22   85      841.63  
26   83      601.58  
5    86      1600.00 
54   84      180.00  
83   85      240.00  
43   87      10.00   
55   89      179.54  
89   53      331.40  
55   88      332.35  
88   51      325.03  
84   88      113.35  
88   89      150.82  
55   86      165.43 ;

param d :=
1    100.0
2    125.0
3    150.0
4    200.0
5    250.0
6    300.0
7    350.0
8    400.0
9    450.0
10   500.0
11   600.0
12   700.0
13   800.0 ;

param E :=
 1         2.9 
 2         5.0 
 3         3.5 
 4         3.8 
 5         2.2 
 6         7.0 
 7         6.5 
 8         5.2 
 9         4.3 
10         5.2 
11         28  
12         3.2 
13         3.2 
14         19.2
17         4.0 
18         3.5 
19         2.8 
20         2.7 
21         1.8 
22         2.1 
23         2.0 
24         18.7
25         3.2 
26         1.6 
27         3.8 
28         4.3 
29         3.6 
30         3.2 
31         2.8 
32         1.8 
33         3.8 
34         2.9 
35         3.7 
36         2.1 
37         6.7 
38         6.7 
39         4.2 
40         2.9 
41         2.9 
42         28.5
44         27.3
45         1.1 
46         2.5 
47         2.8 
48         3.3 
49         1.8 
50         1.8 
51         1.6 
52         1.8 
53         1.6 
54         3.3 
55         2.5 
56         2.8 
57         3.2 
58         3.6 
59         3.8 
60         3.1 
61         3.0 
62         4.2 
76         4.2 
82         2.1 
83         2.1 
84         3.3 
85         2.1 
86         1.5 
87         19.2
88         2.1 
89         1.5  
43         51
65         49.8
15         39.8;

param P :=
  1   20
  2   20
  3   20
  4   20
  5   20
  6   20
  7   20
  8   20
  9   20
 10   20
 11   20
 12   20
 13   20
 14   20
 17   20
 18   20
 19   20
 20   20
 21   20
 22   20
 23   20
 24   20
 25   20
 26   20
 27   20
 28   20
 29   20
 30   20
 31   20
 32   20
 33   20
 34   20
 35   20
 36   20
 37   20
 38   20
 39   20
 40   20
 41   20
 42   20
 44   20
 45   20
 46   20
 47   20
 48   20
 49   20
 50   20
 51   20
 52   20
 53   20
 54   20
 55   20
 56   20
 57   20
 58   20
 59   20
 60   20
 61   20
 62   20
 76   20
 82   20
 83   20
 84   20
 85   20
 86   20
 87   20
 88   20
 89   20
 43   2.08
 65   5.20
 15   17.2;

param D :=
 1     0.010010
 2     0.012430
 3     0.008500
 4     0.008500
 5     0.012120
 6     0.001630
 7     0.000   
 8     0.033600
 9     0.004380
10     0.016400
11     0.029770
12     0.000490
13     0.007490
14     0.006060
17     0.002770
18     0.005030
19     0.004810
20     0.021040
21     0.016940
22     0.010410
23     0.002170
24     0.006550
25     0.010410
26     0.002780
27     0.005320
28     0.003630
29     0.033000
30     0.006000
31     0.006400
32     0.002960
33     0.003090
34     0.003090
35     0.008790
36     0.001680
37     0.012640
38     0.012640
39     0.012640
40     0.005560
41     0.002600
42     0.004570
44     0.007560
45     0.006210
46     0.003090
47     0.000590
48     0.012630
49     0.003410
50     0.013210
51     0.003870
52     0.006430
53     0.002550
54     0.000   
55     0.011300
56     0.003990
57     0.007750
58     0.001910
59     0.000880
60     0.005140
61     0.005140
62     0.007440
76     0.00    
82     0.000005
83     0.00    
84     0.00054 
85     0.00037 
86     0.006460
87     0.02500 
88     0.00215 
89     0.00175  
43     0
65     0
15     0;

param C :=
 1     27.7
 2     38.0
 3		 40.5
 4		 55.4
 5		 75.0
 6		 92.4
 7		 123.1
 8		 141.9
 9		 169.3
10		 191.5
11 		 246.0
12     319.6
13     391.1;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130
7   130
8   130
9   130
10  130
11  130
12  130
13  130 ;
set Source:= 15 43 65 ;  # source nodes
