set nodes := 1 2 3 4 ;
set pipes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

param : arcs : L  vmax:=
1    2    1000     2   
2    4    700     2
2    3    300     2
3    4    500     2
;

param d :=
1   25.4
2   50.8
3   76.2
4   101.6
5   152.4
6   203.2
7   254
8   304.8
9   355.6
10   406.4
11   457.2
12   508
13   558.8
14   609.6 ;
    
param E :=
1   210
2   150
3   160
4   155
;

param P :=
1   0
2   30
3   30
4   30
;

param D :=
1   -88.8877
2   27.7777
3   27.777
4   33.333
;


param C :=
1   2
2   5
3   8
4   11
5   16
6   23
7   32
8   50
9   60
10   90
11   130
12   170
13   300
14   550 ;

param R :=
1   130
2   130
3   130
4   130
5   130
6   130
7   130
8   130
9   130
10   130
11   130
12   130
13   130
14   130 ;

set Source:= 1 ;
