###########################################################################################
# PARAMETERS' DEFINITION FOR THE HANOI'S NETWORK from
# "On the Optimal Design of Water Distribution Networks: a Practical MINLP Approach"
# by Cristiana Bragalli, Claudia D'Ambrosio, Jon Lee, Andrea Lodi, Paolo Toth
# Optimization and Engineering, 2011
###########################################################################################
# Cristiana Bragalli, DISTART, University of Bologna, cristiana.bragalli@unibo.it
# Claudia D'Ambrosio, DEIS, University of Bologna, c.dambrosio@unibo.it
# Jon Lee, IBM T.J. Watson Research Center, jonlee@us.ibm.com
# Andrea Lodi, DEIS, University of Bologna, andrea.lodi@unibo.it
# Paolo Toth, DEIS, University of Bologna, paolo.toth@unibo.it
###########################################################################################

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: nodes:		E	        D	        P	          pmax :=
 1               	100         	0              100	          100
 2               	0           	0.24722         30		  100
 3               	0           	0.23611      	30		  100
 4               	0           	0.03611      	30		  100
 5               	0           	0.20139      	30		  100
 6               	0           	0.27917      	30		  100
 7               	0           	0.375        	30		  100
 8               	0           	0.15278      	30		  100
 9               	0           	0.14583      	30		  100
 10              	0           	0.14583      	30		  100
 11              	0           	0.13889      	30		  100
 12              	0           	0.15556      	30		  100
 13              	0           	0.26111      	30		  100
 14              	0           	0.17083      	30		  100
 15              	0           	0.07778      	30		  100
 16              	0           	0.08611      	30		  100
 17              	0           	0.24028      	30		  100
 18              	0           	0.37361      	30		  100
 19              	0           	0.01667      	30		  100
 20              	0           	0.35417      	30		  100
 21              	0           	0.25833      	30		  100
 22              	0           	0.13472      	30		  100
 23              	0           	0.29028      	30		  100
 24              	0           	0.22778      	30		  100
 25              	0           	0.04722      	30		  100
 26              	0           	0.25000      	30		  100
 27              	0           	0.10278      	30		  100
 28              	0           	0.08056      	30		  100
 29              	0           	0.10000      	30		  100
 30              	0           	0.10000      	30		  100
 31              	0           	0.02917     	30		  100
 32              	0           	0.22361     	30		  100
 33               	0           	0.23611      	30		  100
 34               	0           	0.03611      	30		  100
 35               	0           	0.20139      	30		  100
 36               	0           	0.27917      	30		  100
 37               	0           	0.375        	30		  100
 38               	0           	0.15278      	30		  100
 39               	0           	0.14583      	30		  100
 40              	0           	0.14583      	30		  100
 41              	0           	0.13889      	30		  100
 42              	0           	0.15556      	30		  100
 43              	0           	0.26111      	30		  100
 44              	0           	0.17083      	30		  100
 45              	0           	0.07778      	30		  100
 46              	0           	0.08611      	30		  100
 47              	0           	0.24028      	30		  100
 48              	0           	0.37361      	30		  100
 49              	0           	0.01667      	30		  100
 50              	0           	0.35417      	30		  100
 51              	0           	0.25833      	30		  100
 52              	0           	0.13472      	30		  100
 53              	0           	0.29028      	30		  100
 54              	0           	0.22778      	30		  100
 55              	0           	0.04722      	30		  100
 56              	0           	0.25000      	30		  100
 57              	0           	0.10278      	30		  100
 58              	0           	0.08056      	30		  100
 59              	0           	0.10000      	30		  100
 60              	0           	0.10000      	30		  100
 61              	0           	0.02917     	30		  100
 62              	0           	0.22361     	30		  100;



#Pipe's parameters: start node, end node, length, maximum velocity

param: arcs:                      L     :=
 1                2              28.9         	    
 2                3             1350        	 
 3                4              900         	 
 4                5             1150        	 
 5                6             1450        	 
 6                7              450         	 
 7                8              850         	 
 8                9              850         	 
 9               10              800         	 
10               11              950         	 
11               12             1200        	 
12               13             3500        	 
10               14              800         	 
14               15              500         	 
15               16              550         	 
16               17             2730        	 
17               18             1750        	 
18               19              800         	 
19                3              400         	 
 3               20             2200        	 
20               21             1500        	 
21               22              500         	 
20               23             2650        	 
23               24             1230        	 
24               25             1300        	 
25               26              850         	 
26               27              300         	 
27               16              750         	 
23               28             1500        	 
28               29             2000        	 
29               30             1600        	 
30               31              150         	 
31               32              860         	 
32               25              950     
2                33              1350
33                34              900
34                35              1150
35                36              1450
36                37              450
37                38              850
38                39              850
39                40              800
40                41              950
41                42              1200
42                43              3500
40                44              800
44                45              500
45                46              550
47                46              2730
48                47              1750
49                48              800
33                49              400
33                50              2200
50                51              1500
51                52              500
50                53              2650
53                54              1230
54                55              1300
56                55              850
57                56              300
46                57              750
53                58              1500
58                59              2000
59                60              1600
60                61              150
62                61              860
55                62              950 ;

#param dmin := 0.3048;
#param dmax := 1.0160;
#param d:= 0.0005;
#param p:=1.852;
set Source:= 1 ;

#Diameter's parameters: diameter, roughness coefficient, cost

param: pipes:             d         C         R:=
  1			  0.3048     45.73  130
  2			  0.4064     70.40  130
  3			  0.5080     98.39  130
  4	                  0.6096    129.33  130
  5			  0.7620    180.75  130
  6			  1.0160    278.28  130;	
