Instances,Ini Ipopt Objective,Ini Ipopt time taken,Ini Ipopt Con Vio,Ini Ipopt Abs Error,Ini Ipopt Rel Error,Baron Lower Bound,Baron Objective,Baron Con Vio,Baron Abs Error,Baron Rel Error,Baron time taken,Gurobi Best Bound,Gurobi Objective,Gurobi Con Vio,Gurobi Abs Error,Gurobi Rel Error,Gurobi time taken,Scip Dual Bound,Scip Objective,Scip Con Vio,Scip Abs Error,Scip Rel Error,Scip time taken,Knitro Objective,Knitro time taken,Bonmin Objective,Bonmin time taken,Mmultistart Objective,Mmultistart time taken,Heuristic Objective,Heuristic time taken,Heuristic Con Vio,Heuristic Abs Error,Heuristic Rel Error,Heuristic NLP,Heuristic Iteration
d1_bessa,123882.6143573755,0.19,1.4773654782168633e-10,6.451334345208837e-11,8.86159080664007e-09,123882.61430818084,123882.6143,1.833320277576725e-07,6.450798575863281e-11,8.861582808832914e-09,6.83,123877.6865544,123882.8075948,7.460376395816877e-05,1.6727309381375788e-10,5.2271613057194575e-08,600,123882.613564478,123882.613564478,7.449220838550222e-07,6.450978726896262e-11,8.861589494296282e-09,1.6,123882.61435697228,0.57,123882.61435695412,15.08,123882.6144,0.24,123882.61356446464,0.66,7.432505623869087e-07,6.45115176556299e-11,8.861577775631983e-09,13.0,8.0
d2_shamir,403389.7801658357,0.2,1.841038432814912e-11,3.419486915845482e-14,3.1457112977920077e-15,403389.7616892895,403389.7617,1.7531729935085782e-06,3.1530333899354446e-14,3.056084196886232e-15,2.13,403235.0136522,417344.8456287,3.7704875810451455e-07,3.597122599785507e-14,7.610257001437686e-15,600,403387.945814686,403387.945814686,4.119887088593899e-06,3.863576125695545e-14,3.801906160476111e-15,2.93,403389.780166073,1.03,403389.78016083245,4.75,417178.7282,0.29,403387.93243702844,1.56,8.069016259250328e-06,3.6415315207705135e-14,3.5091442271973678e-15,16.0,8.0
d3_hanoi,6058309.106764321,0.53,3.075952687003891e-12,2.2622466400168406e-11,4.4144056872748156e-10,6056039.501445673,6056039.501,1.585067146980812e-11,3.4821590055855722e-12,1.0056358988364796e-11,1.29,5739036.127967,6056057.812171,1.3942910125075425e-09,3.4930391912268988e-12,1.0091808986580935e-11,600,6056027.37938764,6056039.38208159,7.668916903607464e-06,3.4919289682022736e-12,1.0056687892188423e-11,300.1,6058309.106763018,3.95,6056039.501445333,20.09,6056039.5014,0.8,6056039.465805146,5.9,2.6491718836361977e-06,3.481492871770797e-12,1.0056879472723634e-11,56.0,8.0
d4_double_hanoi,12069211.974827403,0.79,6.152592324504269e-12,4.516711310520449e-11,8.813091873091906e-10,3599299.1750798016,12064652.69,5.0483374022802785e-08,6.959655074467719e-12,2.006809195175814e-11,300.29,9345608.854205,12439639.90017,1.3595259757841248e-08,1.326636670779906e-08,0.0001265924062274116,600,7721226.84185332,12074884.2095709,5.350200888363989e-06,4.1619897589093013e-10,1.0593919058119947e-07,300.33,12205403.326471101,6.4,12064652.689279547,42.1,12074731.7213,1.98,12064652.579994362,23.73,5.248331457409494e-06,6.957545650720931e-12,2.006673367978442e-11,113.0,8.0
d5_triple_hanoi,18386409.935834516,2.76,7.79682221563327e-12,4.902360462022415e-11,8.862516910495891e-10,5440995.642399999,18369977.87,7.84478445571557e-08,1.0415335260915981e-11,2.98703660156315e-11,300.14,12504063.74734,18885503.96707,4.0221367382520246e-09,4.1235903580627564e-12,6.157759499450261e-12,600,7227277.57928454,18598440.6715759,8.70977880388854e-06,2.7772693866889853e-11,4.115466538691963e-10,300.27,18369977.86969915,13.93,18369977.86969682,110.39,18372292.5214,8.74,18372291.827409666,51.33,1.122479539872323e-11,2.941418636437376e-11,4.5801552175513295e-10,173.0,31.0
d6_newyork,58370926.155038975,0.48,1.806898033973603e-11,1.0223642765705421e-10,4.4235801672445525e-09,34201459.35,57805288.92,6.786668424116349e-08,1.0172623160498162e-10,4.347255513797096e-09,300.29,3.420145935000e+07,no feasible solution,113402.72924490001,0.0,0.0,600,34201459.35,58463337.3968643,5.558391914173982e-06,8.976714510611217e-11,4.102575080200719e-09,300.82,58142611.53465102,2.11,58348533.11396243,26.01,58288595.3841,1.67,0.0,0.0,,,,0.0,0.0
d7_blacksburg,117914.94188668561,0.98,3.3943911049993947e-12,3.712765338226287e-12,2.3882222502139838e-11,59613.27734376539,117522.5359,4.573943654384571e-12,3.6193339991719142e-12,2.384803352312556e-11,300.43,117522.5346235,117522.5373506,1.3974330637924956e-07,3.618680008421471e-12,2.3847386950530988e-11,600,92960.7144779173,117914.934785468,7.609584721789868e-06,3.7015095849524116e-12,2.388180525693688e-11,300.33,118217.55608619771,24.38,153697.87923148935,47.86,118929.2549,0.92,0.0,0.0,,,,0.0,0.0
d8_fossolo_iron,172716.5543128237,0.56,4.174586040132239e-09,4.756537027802727e-09,1.2599286429109818e-05,166436.028,171724.3289,1.4671019330262606e-07,1.9937638991325817e-08,0.00014497050805111882,300.28,1.664360280000e+05,no feasible solution,12281.053909999997,0.0,0.0,600,166436.028,171724.331189397,7.649026968813095e-06,1.9937080808079015e-08,0.00014496271118511487,300.34,171724.3325472306,5.81,171724.332543549,5.86,171724.3325,0.94,171872.09590161406,25.44,1.3106800790096268e-09,1.0657901350986975e-08,7.684449045990682e-05,212.0,18.0
d9_fossolo_poly_0,67378876.74131627,0.63,1.205267493881862e-12,2.089582811686322e-09,2.31336341727275e-06,57916375.400000006,66399736.22,4.068025148213023e-08,5.587464891319057e-09,1.989015464311053e-05,300.27,5.791637540000e+07,no feasible solution,12281.053909999997,0.0,0.0,600,57916375.4,66399735.6292481,4.2752747593931164e-06,5.5874694574365065e-09,1.9890173320239658e-05,300.52,67271836.1638914,3.94,66399736.22395842,8.55,66444853.3647,0.6,66444852.22203278,30.9,4.445924346551143e-06,5.383822514022575e-08,0.001813978185549706,206.0,8.0
d10_fossolo_poly_1,20681.76640114936,6.51,3.323700532463156e-11,5.972492608981306e-10,3.362106957751222e-07,3195.718784833098,67373.71244,3.912654439807914e-11,1.337263633161001e-13,4.4918322701091545e-13,300.17,3.195718784833e+03,no feasible solution,12281.053909999997,0.0,0.0,600,3671.27723541311,21423.7885665114,1.2318719598259818e-05,2.0502838055797001e-10,4.638429002773029e-08,300.23,24329.956486878895,67.08,20594.80260535477,220.18,21487.1627,14.46,20192.275356751914,106.14,1.6390634925120913e-05,3.060194458948118e-11,4.717793755928781e-10,216.0,8.0
